ka,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Harel Safra,infra,1,Riskified,Harel Safra.png,https://www.linkedin.com/in/harelsafra/,,,,When Infrastructure as Code Ends - Jump in and Create Some More,"Adding new functionality to Terraform can be daunting: it’s written only in Go (which you may not know) and you have to understand the architecture and work through less than welcoming documentation. I’ll provide a walkthrough from my experience with it, going from zero to publishing a provider.",,"Harel Safra is a Data Platform Engineering Team Lead at Riskified, a Fintech company focusing on fraud prevention. His team manages the online data platform supporting real time fraud detection systems.
He has worked in various Data And Infrastructure roles throughout his career, always striving for simpler ways to achieve scalable, optimally performing systems"
,confirmed,Aleksei Popov,infra,1,Stenn International,Aleksei Popov.png,https://www.linkedin.com/in/aleksei-popov-771b34233/,,,,Architecture of a Fintech Startup: Tackling Growing Complexity at Scale,"A comprehensive overview of various aspects of building a highly scalable fintech startup with a product-led strategy. In this talk, I will share insights on different problems and solutions for tackling the inevitable growing complexity during the scaling of a fintech startup. He will also discuss the role of technology in enhancing customer experience and streamlining operations.",,"Alex is a dedicated Software Engineering Manager with a specialization in the .NET environment and software architecture. Currently serving as the Engineering Lead at a prominent fintech company in London, Alex has led the development and deployment of critical products that have made significant impacts on the fintech landscape. His initiatives have directly led to the enhancement of payment systems, the introduction of innovative financial solutions, and the strengthening of security measures. These contributions have not only propelled the company's growth but have also set new standards in the industry."
,confirmed,Thijs Feryn,infra,1,Varnish Software,Thijs Feryn.png,https://www.linkedin.com/in/thijsferyn/,,@ThijsFeryn,,Caching the uncacheable in Varnish,"Learn how to accelerate web applications and APIs by caching the HTTP output in Varnish. Instead of focusing on basic use cases with static content that is easily cacheable, this presentation shows how to cache personalized content ""on the edge"", that is otherwise deemed uncacheable.",,"As the Technical Evangelist at [Varnish Software](https://www.varnish-software.com), Thijs Feryn focuses on web performance, software scalability, and content delivery. He demonstrates content-driven and technical messaging through presentations, [videos](https://www.youtube.com/@Varnish-software/videos), books, blog posts, social media posts, podcasts, and other media.
Thijs is a published author and wrote [Getting Started with Varnish Cache](https://www.oreilly.com/library/view/getting-started-with/9781491972212/) and [Varnish 6 by Example](https://info.varnish-software.com/resources/varnish-6-by-example-book). As a public speaker, he has [a track record of over 300 presentations in 22 countries](https://feryn.eu/presentations), where he is often praised for his energetic and engaging presentation style.
As an evangelist, Thijs is also active in many open-source communities, most notably the Varnish and PHP community. He has contributed to various communities for over 15 years both technically and as an organizer and facilitator.
Prior to joining Varnish Software, Thijs Feryn spent 15 years in the web hosting industry, tackling web performance and scalability issues on a daily basis and evangelizing these topics.
For more information, please visit - [https://feryn.eu/speaking](https://feryn.eu/speaking)"
,,,,,,,,,,,,,,
,confirmed,Steve Flanders,observability,2,Cisco,Steve Flanders.png,https://www.linkedin.com/in/steveflanders/,,@smflanders,,Mastering OpenTelemetry Collector Configuration,"Are you struggling to make sense of your telemetry data or overwhelmed by your system's sheer volume and complexity? Learn how the OpenTelemetry Collector can help you streamline data collection, optimize performance, and gain unparalleled insights into your applications.","Configuring the OpenTelemetry Collector can be a daunting task for both novices and seasoned professionals alike. Yet, mastering this crucial aspect is essential for unlocking the full potential of your observability stack. In this session, you will embark on a journey to gain the knowledge and skills needed to conquer common OpenTelemetry Collector configuration challenges. This session will draw from real-world experiences and best practices and provide live demonstrations to navigate the intricacies of OpenTelemetry Collector configuration. Whether you are a novice looking to get started or a seasoned veteran seeking to level up your skills, this session promises to empower you with the knowledge and confidence needed to properly and efficiently configure the OpenTelemetry Collector.","Steve Flanders is a Senior Director of Engineering at Splunk (acquired by Cisco) responsible for the Observability Platform team, which includes contributions to the OpenTelemetry project. He was previously the Head of Product at Omnition (acquired by Splunk). Prior to Omnition, he led log analytics and data collection at VMware. Steve is writing a book called Mastering OpenTelemetry and Observability: Enhancing Application and Infrastructure Performance and Avoiding Outages, which will be available this fall."
,confirmed,Dave McAllister,observability,2,NGINX,Dave McAllister.png,https://www.linkedin.com/in/davemc/,,@dwmcallister,,The Subtle Art of Lying with Statistics,"Lies, damned lies and statistics. But statistics allow you to lie to yourself. Statistics can trick us into believing things that are less than true, though not on purpose. Learn how data choice, event focus and scale change perspective. See how graphs mislead and correlation can cause confusion.",,"Currently providing technical evangelism for NGINX, Dave works with DevOps, developers and architects to understand the advantages of modern microservice architectures and orchestration to solve large-scale distributed systems challenges, especially with open source and its innovation. Dave has been a champion for open systems and open source from the early days of Linux, through open distributed file systems like XFS, GFS, and GlusterFS to today's world of clouds and containers. He often speaks on topics such as the real-world issues associated with emerging software architectures and practices, on open source software and on creating new technology companies. Dave has spoken on technical topics like distributed request tracing, modern monitoring practices, open sources projects from both corporations and foundation views, and on how open source innovations powers todays world.
Dave was named as one of the top ten pioneers in open source by Computer Business Review, having cut his teeth on Linux and compilers before the phrase ""open source"" was coined. Well versed in trivia, he won a Golden Penguin in 2002. When he's not talking, you can find him hiking with his trusty camera, trying to keep up with his wife."
,confirmed,Erwin de Keijzer,observability,2,Fullstaq,Erwin de Keijzer.png,https://www.linkedin.com/in/erwindekeijzer/,,,,"A deep dive into Perses, the GitOps Native dashboard visualization tool","Perses is to Prometheus as what Grafana was for graphite. And even though Grafana has become so much more, Perses is an extremely interesting new entry into the dashboad/visualisation space. This talk will have an up to date demo and some of the unique advantages Perses offers over alternatives.",,"Erwin is a DevOps Engineer at Fullstaq. He loves educating people what it means to build cloud native applications (and it’s not just using the “cloud”). Using the Cloud Native landscape to make application delivery and lifecycle simple and reliable. At home he is always looking for sidequests; monitoring his power usage to send notifications when his washing machine is done, connecting the garage door to the internet (securely) and adding music to his elevator are just a few examples. His experience makes him a very practical engineer, finding the simple solution is more important than having a modern, shiny solution."
,confirmed,Syed Usman Ahmad,observability,2,Grafana Labs,Syed Usman Ahmad.png,https://www.linkedin.com/in/usmanlinux/,,,,Unlocking key metrics and patterns using Grafana,This talk is about Data analysts who mostly work as Data Scientists who need to visualize data mostly available in Google Excel data sets aka data sheets on the cloud and using Grafana can help to visualize and monitor it by using the Excel sheet plugin.,"Whether you are just starting your career or already an expert Data Analyst, you need multiple tools and techniques to manipulate data into visual metrics to track the most important KPIs in your organization. However, sharing such information with others can be challenging as it requires the same skills and tools to get the same results.
In this talk, we will demonstrate an example of how you can visualize and monitor a time-series-based performance report dataset from an Excel sheet to represent it in various visualization formats and get key metrics or find trends in your Dataset Grafana dashboards. Also, we will gain insight into details by applying some filtering techniques that will give you a more adaptable and user-centric dashboard experience either for your personal projects or for the entire team.
It will be an introduction to the Grafana Dashboards and also an excellent opportunity to learn more about utilizing advanced options to effectively extract and represent meaningful insights from complex data sets.
Join us to learn more about Grafana dashboards, community contributions and share your feedback and suggestions!","Usman is a Senior Developer Advocate at Grafana Labs from Nuremberg, Germany. He works with the Open Source community on the community forum, GitHub and Slack.
He has over 15 years of experience in IT and Cloud Support where he served multiple customers all over Europe, US, Japan, etc.
He is an active international public speaker participating in multiple conferences and events.
In his free time, Usman likes to spend time with his family, go out on occasional traveling and play games or read comics."
,confirmed,Wilfried Roset,observability,2,OVHcloud,Wilfried Roset.png,https://www.linkedin.com/in/wilfriedroset,,,,Improving the efficiency of more than 800 databases with observability: 4 years later,The presentation explores how observability can improve service quality down to the database level. The speaker will discuss how OVHcloud refined the efficiency of their information system databases. The talk shares a recipe for getting the most out of your DBMS and how to get rid of slow queries.,,"In his position as the leader of a SRE team, Wilfried focuses on prioritizing sustainability, resilience, and industrialization to guarantee customer satisfaction."
,confirmed,Leon Adato,observability,2,Kentik,Leon Adato.png,https://www.linkedin.com/in/leonadato/,,@leonadato,,"Alerts don't suck, YOUR alerts suck","When people tell me ""alerts suck"", I tell them ""No, YOUR alerts suck."" Here's why: We suck at creating alerts that are useful, meaningful, and most of all actionable. But there's good news: We'll show you how your alerts can suck less, and even be more manageable, using a few easy techniques.",,"A full speaker profile is available on [adatosystems.com](adatosystems.com/speaking/)*
In my sordid career, I have been an actor, bug exterminator and wild-animal remover (nothing crazy like pumas or wildebeests. Just skunks, snakes, and raccoons.), electrician, carpenter, stage-combat instructor, ASL interpreter, and Sunday school teacher. Oh, yeah, I've also worked with computers.
While my first keyboard was an IBM selectric, and my first digital experience was on an Atari 400, my professional work in tech started in 1989 (when you got Windows 286 for free on twelve 5¼” when you bought Excel 1.0). Since then I've worked as a classroom instructor, courseware designer, helpdesk operator, desktop support staff, sysadmin, network engineer, and software distribution technician.
Then, about 25 years ago, I got involved with monitoring. I've worked with a wide range of tools: Tivoli, BMC, OpenView, janky perl scripts, Nagios, SolarWinds, DOS batch files, Zabbix, Grafana, New Relic, and other assorted nightmare fuel. I've designed solutions for companies that were modest (~10 systems), significant (5,000 systems), and ludicrous (250,000 systems). In that time, I've learned a lot about monitoring and observability in all it's many and splendid forms."
,confirmed,Ricardo Castro,observability,2,FanDuel / Blip.pt,Ricardo Castro.png,https://www.linkedin.com/in/mccricardo/,,@mccricardo,,DevOps Is Not Dead. Not Not by a Long Shot,"DevOps is not a trend that has come and gone. It's a cultural shift that has fundamentally changed how software is developed and deployed. While emerging practices like Platform Engineering may seem to be taking over, they are not meant to replace DevOps; instead, they are complementary to it.",,"Principal Engineer, SRE at FanDuel/Blip.pt. MSc in Computer Science by the University of Porto. CK{AD, A, S} by Cloud Native Computing Foundation (CNCF) | Linux Foundation. {Terraform, Consul, Vault} Associate by HashiCorp. Working daily to build high-performance, reliable and scalable systems. DevOps Porto meetup co-organizer and DevOpsDays Portugal co-organizer. A strong believer in culture and teamwork. Open source passionate, martial arts amateur, and metal lover."
,confirmed,Yosef Arbiv,observability,2,Outshift by Cisco,Yosef Arbiv.png,https://www.linkedin.com/in/yosef-arbiv/?originalSubdomain=il,,,,Beyond Spans and Traces: Advanced Python Observability with OpenTelemetry,"Attendees will learn through practical examples how to integrate OpenTelemetry for logs and metrics, moving beyond basic tracing to achieve a more holistic view of their applications. The session will also share examples of using open source tools for visualization.",,"Yosef Arbiv is married to Adi and father of three, currently R&D Team Leader at the Emerging Technologies and Incubation group in Cisco. Yosef’s team is focused on building the cloud SDKs for Cisco’s full stack observability product.
His prior experience includes Team leader and Software Engineer at Argus cyber security, Cyberbit and IDF Intelligence Forces. Computer Science MSc graduate from Bar Ilan University. Yosef is passionate about people, coding, and the combination of the two."
,,,,,,,,,,,,,,
,confirmed,Costa Tsaousis,AI & more,2,Netdata,Costa Tsaousis.png,https://www.linkedin.com/in/costatsaousis/,,@CostaTsaousis,,Practical AI with Machine Learning for Observability in Netdata,"In SreCON19, Todd Underwood from Google gave a presentation with the title “All of Our ML Ideas Are Bad (and We Should Feel Bad)”. Let’s see a few ML ideas, implemented in the open-source Netdata, that may not actually be that bad.",,"Hi! I am Costa Tsaousis, the Founder and CEO of Netdata. Since 1995, I have been actively working on internet related startups. I have been a co-founder and C-level executive of many successful projects, including Internet Service Providers, Cloud Hosting Providers and Fintech startups. I have a passion for innovation and open-source and I now lead Netdata, a monitoring solution aiming to simplify and modernize infrastructure observability for all of us.
I am a cat person and we have a whole tribe of them at the office constantly walking on our keyboards. We try to keep them out of the room when we are pressing the release button ;)"
,confirmed,Michele Dodic & Francesco Sbaraglia,AI & more,2,Accenture,Michele Dodic & Francesco Sbaraglia.png,https://www.linkedin.com/in/michele-dodic/,https://www.linkedin.com/in/fsbaraglia/,,,Beyond Reactive Security: Next-Gen Kubernetes Threat Hunting Powered by GenAI and eBPF,"Unlock the future of Kubernetes security with GenAI and eBPF. Learn to predict, detect, and neutralize threats in real-time. This session reveals how AI and monitoring transform security strategies for engineers and platforms in fast-paced environments.","The need for proactive and predictive security measures has never been more urgent at a time when cyber threats are evolving faster than ever. This session will explore the state of Kubernetes security and present a new paradigm for detecting threats beyond traditional reactive approaches. We'll look at how security engineers, DevSecs and Platform Engineers can radically change their safety posture by integrating Observability with new GenAI Artificial Intelligence based capabilities.
We'll start by analyzing the complexity of the Kubernetes architecture and the unique security challenges it presents. Later in the session, attendees will gain insight into how eBPF (extended Berkeley Packet Filter) serves as the cornerstone for real-time kernel-level data collection and monitoring, providing unparalleled visibility into system calls and network traffic.
By leveraging GenAI's adaptive algorithms, we will demonstrate how to anticipate, identify and neutralize advanced threats before they evolve into breaches. Attendees will learn how to harness GenAI’s machine learning prowess to automate threat detection, streamline incident response, and promote a security-first culture within their Kubernetes environments.","Michele is a Site Reliability Engineer at Accenture. Given his previous experience as a Software Engineer in the field of AI and Industrial Automation, Michele is now driving the AIOps campaign for an American technology customer. Aside from implementing novel technical solutions and POCs, Michele is a lead member of several DevOps communities, where he is predominantly focusing on SRE-related offerings, with the goal of promoting SRE principles, practices and culture."
,confirmed,Marcin Szymaniuk,AI & more,2,TantusData,Marcin Szymaniuk.png,https://www.linkedin.com/in/marcin-szymaniuk/,,,,"ChatGPT, LLMs, and LangChains - A Beginner's Guide","Would you like to do something more than just create prompts for ChatGPT? How about building an application? An application that utilises the power of generative AI. From scratch! All you need is Python knowledge, your laptop, and an open mind.
We will cover the tricky bits and pitfalls as well!",,"Specialising in monetising big data for clients since the 07's, Marcin is leading a team of seasoned data engineers specialised in everything data: Data Engineering, ML, ML-ops, and Cloud. Marcin is an expert in non-standard issues and those more run-down-the-mill that must be solved quickly and conveniently. His experience spans industries and various project sizes. But his speciality remains the area of AI, Ml and deployment. Marcin's professional journey boasts collaborations with industry titans such as Apple, Spotify and Telia, as well as, nurturing startups. Such rich expertise makes him an excellent speaker."
,confirmed,Birol Yildiz,AI & more,2,ilert,Birol Yildiz.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,New Approaches to Reduce Alert Noise AIOps,This talk will be particularly valuable for DevOps engineers looking to optimize their alert management systems and reduce the cognitive load caused by alert fatigue.,"Alert fatigue has long been a significant challenge for the DevOps community, often leading to decreased efficiency and increased stress among professionals. In this talk, we will explore innovative strategies leveraging Artificial Intelligence to mitigate alert noise.
We will dive into techniques to group alerts based on content similarity and demonstrate methods to filter events based on various conditions. Furthermore, we will cover approaches to adjusting alert thresholds to find a balance between capturing all potential duplicates and minimizing false positives, providing best practices and guidelines for threshold management to enhance alert accuracy.
IT administrators seeking to integrate advanced AI techniques into their monitoring workflows for better performance and reliability, as well as AI and machine learning enthusiasts keen to learn about practical applications of AI in the realm of IT monitoring and alerting, will gain actionable insights and practical knowledge","Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,confirmed,Mahesh Venkataraman,AI & more,2,Accenture,Mahesh Venkataraman.png,https://www.linkedin.com/in/maheshvenkataraman/,,,,Generative AI Powered Omni-functional Decision Insights for SREs,"This talk will explore the integration of Generative Artificial Intelligence (AI) to enhance decision-making and diagnosis in Site Reliability Engineering (SRE). Leveraging the capabilities of Generative AI, we propose an Omni-functional approach to synthesizing insights from diverse sources, including project management, application portfolio management, enterprise architecture, cost management, and business process management tools and other IT4IT tool ecosystems. By harnessing Generative AI, SRE teams can gain deeper insights into system behavior, identify potential issues, and make informed decisions to optimize reliability, performance, and scalability. Through scenario simulation, anomaly detection, optimization recommendations, and natural language understanding, Generative AI empowers SREs to proactively address challenges, automate remediation actions, and enhance the overall reliability and resilience of software systems. This paper presents a technical framework for integrating Generative AI-powered Omni-functional Insights into the SRE workflow.",,
,confirmed,Anthony Ekpechue,AI & more,2,Globallogic,Anthony Ekpechue.png,https://www.linkedin.com/in/anthonyekpechue/,,,,Adopting Zero-Trust Security Strategy in Serverless application Deployment,Zero Trust Security Framework deployed as guardrails to verify every request as if it originates from an open network and anticipates that threats can be both internal and external using Enterprise Solutions like Hashicorp Sentinel and Open-source tools like Kyverno and Open Policy Agent.,,"My name is Anthony Ekpechue, and I work for Globallogic UK&I as a Lead Cloud Delivery Consultant. I have several years of experience as a DevOps Engineer and have a track record of delivering cloud solutions, with a focus on cloud adoption and migrating from monolithic to microservice architecture. I have also successfully implemented Zero Trust Solution across serverless workloads in a multi-tenant environment."
,confirmed,Daniel Magliola,AI & more,2,Indeed,Daniel Magliola.png,https://www.linkedin.com/in/dmagliola/,,@dmagliola,,"What does ""high priority"" mean? The secret to happy queues","When delegating work to background jobs, developers often manage multiple queues, which can lead to unpredictable problems initially. In this talk, I propose a different approach based on latency tolerance to address common issues encountered with queues.",,"Life-long coder, expert procrastinator, and occasional game programmer obsessed with code performance and weird Lego machinery."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,confirmed,Marcos Diez,tools,2,Modus Create,Marcos Diez.png,,,,,"Kubernetes, AWS, ALBs, Terraform and no Helm!","You will see the advantages of using the k8s provider for terraform instead of helm to manage the k8s objects (""yamls""). It allows you to see and confirm exactly what changes will happen in your cluster. Later we'll see how to integrate that with the AWS ALB and forward traffic directly to pods.",,"Bachelor in Computer Science, open source developer (some apps with more than 100k downloads), has experience working in Germany, Switzerland and United States, AWS Certified and currently working full time as DevOps. I have a reasonable number of open source contributions, including more than 20 to the k8s dashboard, ansible, terraform, AWS Load Balancer Controller for k8s, minikube and fluentd."
,confirmed,Oleg Fatkhiev,tools,2,,Oleg Fatkhiev.png,https://www.linkedin.com/in/ofats/,,,,Config files vs. flags: story of pain,"Have you encountered a project where every single app reads a config file on startup? Have you struggled to find those files or change them?
Did you feel that there is something off with this approach?
Look no further! We will discuss when flags can solve all of these issues (and when they can't).",,I'm Oleg. I like memes.
,confirmed,David Flanagan,tools,2,Rawkode Academy,David Flanagan.png,https://www.linkedin.com/in/rawkode/,,,,Klustered: Kubernetes Debugging Live,You don't learn until your back is up against the wall and the clock is ticking down. Join us as we explore 3 broken Kubernetes clusters in an attempt to fix each one within less than 30 minutes.,"What do you do when your Kubernetes cluster stops working?
As more teams and organizations adopt Kubernetes, more developers and operators are taking on the responsibility of keeping their clusters happy and healthy. While there's lots of information online for getting started and extending Kubernetes, there's not a lot that focuses on debugging and handling outages; enter Klustered.
In this session, I will guide the participants through some clusters broken by members of the Kubernetes community; showing the methods and techniques to establish which component has a problem, how to determine the root cause, and apply a fix to get the cluster operational.","Founder of the Rawkode Academy, open source contributor, and beloved husband and father to my wife, two amazing kids, and a plethora of animals.
David has been developing software professionally for nearly 20 years, starting with embedded systems written in C back in 2004, and has spent that entire time learning the paradigms of different programming languages, including C++, PHP, Java, and Haskell - though more recently preferring to work with Go, Rust, and Pony.
As a professional technology magpie, David was an early adopter of cloud, containers, and cloud-native technologies. During his time as the Director of Development for a rock and metal media organization called TeamRock (now LouderSound), David was responsible for the software, infrastructure, and website during its biggest test: the unfortunate death of Lemmy Kilmister. Fortunately, due to his desire to experiment and play with new technologies, David and his team had already migrated their slow to provision virtual-machine centric infrastructure to containerised workloads running on Amazon Web Services the year prior, 2014, not long after the public launch of Docker.
As much as David enjoys writing software, scaling infrastructure, and leading teams, he quickly realised that his passion was helping others learn and be successful. David started presenting at local user groups in 2016, slowly working up to conferences, before eventually moving into a full-time Developer Advocacy position at InfluxData - where he presented and taught workshops at 42 events in 2019.
Outside of technology, David enjoys reading science fiction, drinking craft beer and whisky, and very-very-very slowly learning to play the piano."
,confirmed,AJ Jester,tools,2,Alchemist Accelerator,AJ Jester.png,https://www.linkedin.com/in/aj-jester/,,,,On-Prem is the new Black,"The general trend in the industry is shifting towards cloud repatriation, this shift has caused what I call a knowledge gap. In this talk I aim to demystify on-prem environments and show engineers how easy and smooth it is to repatriate data from cloud to an on-prem air gap environment.",,"I’m an Integrator Specialist in the field of DevOps/SRE with over twenty (20) years of empirical operational experience. I not only architect and design, but also implement and maintain the infrastructure thereafter, the whole nine yards, soup to nuts. https://www.linkedin.com/in/aj-jester/"
,confirmed,Matteo Bianchi,tools,2,Omnistrate,Matteo Bianchi.png,https://www.linkedin.com/in/mbianchidev/,,,,"Oops, I deployed too hard","Sometimes you delete production, you drop tables, you change a conf and everything breaks but what if you upgraded the wrong environment, to the wrong version, of the wrong customer (that also happens to be the bigger your company has)?
And what if you did it right before going to a long lunch?
This is a tale of compliance, regulations, unauthorized deployments and ethical questions!
Solved more through diplomacy than with coding.
Memes included*",,
,confirmed,Ondrej Babec & Jiri Novotny,tools,2,Red Hat,Ondrej Babec & Jiri Novotny.png,https://www.linkedin.com/in/ondrej-babec/,https://www.linkedin.com/in/ji%C5%99%C3%AD-novotn%C3%BD-294915202/,@OBabec,,Debezium Server - New CDC runtime on the horizon!,Discover Debezium: Real-time database change streaming made seamless. Say goodbye to vendor lock-in with the innovative Debezium Server. Learn about parallelization and Kubernetes deployment using the Debezium Operator and supercharge your application performance.,,"# About me
My name is Ondrej, and I am passionate about almost everything related to IT. I spend most of my free time watching, fixing, or driving cars, so we will have a lot to talk about if you are a car or bike person.
Besides that, I have a beard and am pretty tall, so I suppose I am easy to find. I am open to conversing with anyone, learning something new, or giving anybody some advice.
## Career
I have been working in **Red Hat** as a Senior Quality Engineer and Team Lead for almost 6 years now on various projects: * Enmasse * PatrIoT * Apicurio Registry
* Debezium
Currently, I have two main projects that I am interested in:
* **[Debezium project](https://github.com/debezium)**, which I find very interesting, and I love working with the whole community around it. * **[Skodjob project](https://github.com/skodjob)**: this project was created some years ago by my colleagues David Kornel and Jakub Stejskal. It contains various tooling for long-running test environments on the Openshift environment and database performance tooling.
Other than that, I am still trying to find time to work on some of my older projects, like Rust MQTT, the first Async Rust MQTT client for embedded devices at the time."
,confirmed,Richard Finlay Tweed,tools,2,Thought Machine,Richard Finlay Tweed.png,https://www.linkedin.com/in/richardftweed/,,,,"Using, and mis-using Kubernetes Dynamic Admission Control","Kubernetes Dynamic Admission control can be used for advanced validation and error correction of workloads. If you've ever wanted to make sure workloads in your clusters are conforming to security best practices, this talk will show you how!",,"Richard Tweed is a Kubernetes specialist at Thought Machine. Over the last five years he has been ensuring security, scalability and compliance across all major Kubernetes cloud platforms. He's also the lead maintainer of kube-audit-rest"
,confirmed,Yusuf Tayman,tools,2,OpenPayd,Yusuf Tayman.png,https://www.linkedin.com/in/yusuftayman/,,@yusuftayman,,"Chaos as an Art: Crafting Chaos, Creating Order","Imagine a canvas where chaos reigns supreme, but in its depths a jaw-dropping order emerges. Witness chaos transformed into art and order into a masterpiece. In this talk, we will explore how to organise chaos in a controlled manner and create chaos scenarios with k6 fault injection.",,"I'm a Lead QA Engineer at OpenPayd, and I've been rocking the testing area for six awesome years. My main game? Nailing observability and automation. I've weaved automated testing into our processes, making things faster and minimizing the room for the human fallibility factor. It's all about achieving optimal outcomes. Besides, I'm all about building systems that give us the lowdown on our apps' behaviour. It's like having a superpower to spot and fix issues in no time. When I'm not diving into the testing quests, I'm a lifelong learner who loves teaming up with others. Tackling challenges together and sharing knowledge is my kind of fun."